Maximum profit: 1017
Stars travelled:
['T', 750, 463, 952, 38, 73]
['S', 105, 981, 962, 66, 39]
['R', 78, 224, 234, 20, 21]
['Q', 487, 544, 437, 63, 76]
['P', 352, 290, 89, 24, 20]
['O', 357, 67, 287, 96, 88]
['N', 509, 213, 875, 50, 87]
['M', 225, 403, 518, 31, 59]
['K', 218, 542, 651, 88, 36]
['J', 942, 694, 754, 23, 46]
['I', 947, 760, 815, 52, 76]
['H', 633, 683, 819, 23, 19]
['G', 825, 51, 472, 3, 8]
['F', 985, 59, 482, 4, 77]
['E', 942, 89, 424, 90, 90]
['D', 575, 888, 696, 60, 51]
['B', 786, 252, 985, 44, 92]
['A', 424, 210, 63, 21, 59]
